PI College,PI Dept,PI Name,PI Part,RA,Cost Share,Awarded,Entry Date,Submitted Thru,Proposal Title,Proposal Amount,Proposal Date,Proposal Start Date,Proposal End Date,ORSP Number,Agency,Flow Down Sponsor,Abstract,CFDA #,Award Date,Start Date,End Date,Award Amount,Average Amount per Year,Source Category,Fed Source Category,Source Name,Submitted Thru Coll,CO-PI 1 Name,CO-PI 1 Dept,CO-PI 1 Part,CO-PI 2 Name,CO-PI 2 Dept,CO-PI 2 Part,CO-PI 3 Name,CO-PI 3 Dept,CO-PI 3 Part,CO-PI 4 Name,CO-PI 4 Dept,CO-PI 4 Part,CO-PI 5 Name,CO-PI 5 Dept,CO-PI 5 Part,CO-PI 6 Name,CO-PI 6 Dept,CO-PI 6 Part,CO-PI 7 Name,CO-PI 7 Dept,CO-PI 7 Part,CO-PI 8 Name,CO-PI 8 Dept,CO-PI 8 Part
OFFICE OF THE PROVOST,CTR FOR COMMUNITY ENGAGE,"LUJAN, JENNIFER M.",100%,LUIS,No,No,2023-12-18,Ctr For Community Engage,LA NUBE UTEP COMMUNITY ENGAGEMENT INTERNS,"$8,841 ",2023-12-13,2023-09-01,2024-08-31,OR20240156,LA NUBE (NPO),,"The purpose of this Program is to assist UTEP Students in participating in meaningful
Internships to supplement their education and encourage student degree completion.

UTEP CCE accordingly, and the Community Partner will work together to ensure that both the
academic and Internship work experiences arising from the Program are carried out to the
satisfaction and benefit of the Students, UTEP, and the Community Partner and in
accordance with applicable laws, rules and regulations
",,,,,0,0,NON-PROFIT ORGANIZAT,,LA NUBE (NPO),OFFICE OF THE PROVOST,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE,PHYSICS,"MANCIU, FELICIA S",100%,MARIBEL,No,No,2023-12-18,Physics               ,SRG - RAMAN SPECTROSCOPIC AND MICROSCOPIC ANALYSIS OF CARBON-BASED MICROELECTRODES,"$20,000 ",2023-12-18,2024-02-01,2025-01-31,OR20240161,MAYO CLINIC (NPO),,"Keywords: Carbon-based quantum materials; Raman spectroscopy; confocal Raman microscopic 
imaging; thin film; biosensors

In investigations of carbon-based materials, non-destructive Raman spectroscopy is a primary diagnostic 
tool owing to the broad range of information it can provide to monitor the composition of such materials. It is 
useful especially for determining the presence of point defects and in semi-quantitatively measuring 
annealing defects or the presence of contaminants [1-5]. In addition to spectral analysis by Raman 
spectroscopy, confocal Raman mapping will also be used to directly visualize the local distribution of 
microelectrode constituents and the presence and location of unwanted defects or residues.
Since the structural properties of the candidate microelectrodes are essential for achieving the proposed 
research, detailed characterizations will be performed at The University of Texas at El Paso (UTEP). 
Aim - Assessment of microelectrodes structural homogeneity through spectroscopic and microscopic 
analysis. 
Structural changes associated with the distribution of different constituents (i.e., sp3 or sp2 
hybridized carbon) throughout the doped diamond thin film and the extent of defects will be analyzed 
in detail using spectroscopic and microscopic confocal Raman. The functionalization of the substrate 
surface, which can be of carbon fiber or diamond, and the extent of dopant permeation will be 
examined, too.
The results of this research will serve as reference points for further investigations of the microelectrodes to 
in vitro and in vivo FSCV, MCSWV, and fixed-potential amperometry measurements. The latter analysis will 
be performed at the Mayo Clinic.
",,,,,0,0,NON-PROFIT ORGANIZAT,,MAYO CLINIC (NPO),SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,COLLEGE OF ENGINEERING,"MEISSNER, KENITH E",100%,RAUL,No,Yes,2023-12-22,College Of Engineering,NSF I-CORPS ALL SBIR - OCTOBER - DECEMBER 2023,"$22,500 ",2023-12-22,2023-10-31,2023-12-31,OR20240167,VENTURE WELL (NPO),NATIONAL SCIENCE FOUNDATION (FED),"Aaron Cervantes will serve as a core faculty member for the October - December 2023 NSF ICorps
virtual course. The specific deliverables related to successful completion of this
Agreement are included below.

Prepare for the October - December
2023 NSF I-Corps virtual course in
accordance with the NSF, VentureWell,
and I-Corps Faculty guidelines,
including curriculum and materials
preparation; securing panelists for the
""How to Succeed in I-Corps"" Panel,
naming core teaching team and adjuncts,
handling site logistics as needed and
communicating all of the above to
VentureWell according to the timing laid
out in the Course Administration
Handbook.
",47,2024-01-05,2023-10-31,2023-12-31,22500,22500,FEDERAL,NSF,NATIONAL SCIENCE FOUNDATION (FED),ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,
LIBERAL ARTS,SOCIOLOGY/ANTHROPOLOGY,"MORALES, MARIA C",100%,CLAUDIA,No,No,2024-01-03,Sociology/anthropology,SRG: COMPARING EHEALTH BEHAVIORAL INTERVENTIONS FOR CHRONIC INSOMNIA IN DAY LABOR WORKER CENTERS,"$1,707,113 ",2023-12-21,2024-11-01,2029-10-31,OR20240168,PATIENT-CENTERED OUTCOMES RSRCH INST (NPO),,"5 Keywords: chronic insomnia, eHealth behavioral interventions, day laborers, healthy sleep, community settings

As Co-I of the project, Dr. Morales will collaborate with the University of Texas at Austin on survey development, 
study recruitment, enrollment, protocol implementation, and data collection and analyses. She will also 
participate in all study-required training and meetings. Dr. Morales, professor of Sociology at The University of 
Texas at El Paso, will lead the study in the El Paso region. Her responsibilities include oversight of the study, 
training, recruitment of participants, implementing study protocol, supervising project staff, monitoring the 
safety of study participants, collecting data, and monitoring the study in the El Paso region. She will attend 
meetings with the project PI at UT Austin, assist with study-related reports, support manuscript development, 
and disseminate study findings. 

In addition to ensuring completion of research objectives and project milestones, Dr. Morales will provide an 
advisory/mentorship role to the project coordinator and research assistants and work directly with community 
partner The Centro de los Trabajadores Agrículas Fronterizos leadership to provide consultation and assistance 
with adherence to study procedures and protocols, and any study-related needs that may arise. 

Dr. Morales will receive bi-monthly study progress updates from Dr. Ramirez and will meet with her virtually once 
per month to discuss overall project development. Deliverables will include (1) enrollment and intervention 
implementation for all participants, approximately 80, at the El Paso site, (2) co-authorship in manuscripts, and 
final PCORI reports.  

",,,,,0,0,NON-PROFIT ORGANIZAT,NOCFDA_GRP,PATIENT-CENTERED OUTCOMES RSRCH INST (NPO),LIBERAL ARTS,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE,BIOLOGICAL SCIENCES,"MOSCHAK, TRAVIS M",50%,CLAUDIA,No,No,2023-12-18,Biological Sciences   ,SRG: STRUCTURAL AND FUNCTIONAL ROLES OF THE SALIENCE NETWORK IN DISTRESS TOLERANCE AND COCAINE-SEEKING BEHAVIOR,"$95,388 ",2023-12-08,2024-07-01,2026-06-30,OR20240160,NIH - NATIONAL INSTITUTE ON DRUG ABUSE (FED),,"5 Keywords: Distress Tolerance, Cocaine, Dopamine, Insula, Medial Prefrontal Cortex

The inability to tolerate the psychological distress experienced while in pursuit of a challenging goal (referred to as low distress tolerance, DT) is 
characteristic of substance users and is predictive of eventual relapse. The overall objective of this application is to employ a rodent model of DT 
developed in our laboratory to examine underlying neural circuitry mediating DT. Understanding neural circuits mediating DT are timely and highly 
significant since targeting DT has recently become a promising treatment strategy for humans suffering from substance use disorders
",93.307,,,,0,0,FEDERAL,HHS,NIH - NATIONAL INSTITUTE ON DRUG ABUSE (FED),SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,
LIBERAL ARTS,COMMUNICATION,"PEREZ, FRANK G",100%,CORY,No,No,2023-12-07,Communication         ,"THREE PILLARS OF TRUST: FOSTERING EFFECTIVE INTERCULTURAL COMMUNICATION AT RURAL HOSPITALS ALONG THE TEXAS-MEXICO BORDER VIA AESTHETICS, FOOD WAYS, A","$73,300 ",2023-12-07,2024-01-01,2024-08-31,OR20240149,TEXAS STATE OFFICE OF RURAL HEALTH (TX),,"Objective: Help rural hospital staff better and more appropriately engage with Hispanic audiences/patients 
throughout the Texas-Mexico border region from a culturally sensitive perspective. Develop three two- to three-hour 
webinar training sessions and ancillary support materials for state healthcare professionals in hospitals to improve 
their binational communication skills.  



Deliverables:
·	Webinar series
o	Three webinar sessions, each of one hour duration, once every three months (see Appendix A 
for sample webinar format).
·	Health terms dictionary: Intake terminology and related vocabulary.
·	Translation/development of English-Spanish intake forms/data sheets/discharge forms (e.g., Instructions 
with proper, commonly understood terms used by Mexican/Americans.).
·	Dietary intake suggestions for menu of nutrition program based on Mexican foods. These would be 
general but would need to be reviewed by a dietitian or other health professional to assess what is 
appropriate for individual patients. 
·	Pre- and post-assessment of program to measure results and to suggest best practices.
",,,,,0,0,STATE OF TEXAS,,TEXAS STATE OFFICE OF RURAL HEALTH (TX),LIBERAL ARTS,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,ELECT & COMP ENGR,"ROBERTS, ROBERT C",100%,RAUL,No,Yes,2023-12-13,Elect & Comp Engr     ,MATERIALS DEVELOPMENT FOR PRINTED ELECTRONICS,"$100,000 ",2023-12-13,2023-12-01,2024-08-30,OR20240154,NATIONAL NUCLEAR SECURITY ADMINISTRATION (FED),"HONEYWELL FEDERAL MANUFACT  & TECH,","The primary objective of this project is to (1) build on work done in FY23 regarding developing inkjet ink 
acceptance testing and (2) develop a conductive, inkjet printable MXene ink. Both objectives will be worked 
simultaneously. 
Copper (Cu) nanoparticle ink will be utilized for this study because of its high conductivity and relatively low 
cost. In FY23, Prof. Roberts and team developed printing recipes for COTS Cu nanoparticle inks using the 
newer Samba G3L heads on the Fujifilm Dimatix. In Fy24, we will continue to analyze possible acceptance 
testing methodologies for COTS Cu nanoparticle inks including testing like impedance spectroscopy, 4-point 
probe structures, and RF reflectometry. 
",81,2024-01-12,2023-12-01,2024-08-30,100000,100000,COMMERCIAL BUSINESS ,,"HONEYWELL FEDERAL MANUFACT  & TECH,",ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,ELECT & COMP ENGR,"SANG, YUANRUI",40%,RAUL,No,No,2023-12-04,Elect & Comp Engr     ,STR: HISPANIC ALLIANCE FOR CLEAN ENERGY EDUCATION AND RESEARCH (HACEER),"$4,071,616 ",2023-12-04,2024-02-01,2027-01-31,OR20240145,MSI STEM RESEARCH & DEVELOPMENT CONSORTI (NPO),US DEPARTMENT OF ENERGY (FED),"KEYWORDS: greenhouse, energy industry, advance computing, environmental engineering

To achieve net-zero greenhouse gas emissions by 2050, there are strong needs to deploy clean generation,
build enabling infrastructure, and develop advanced tools to facilitate the analysis, operations, and planning
for clean energy systems. These needs create a high demand for a skilled workforce in the clean energy
industry. The Southwest and Puerto Rico have the highest solar energy potential in the U.S.; in recent years,
Texas, New Mexico, and Puerto Rico have seen the nation's highest increases in energy industry jobs. The
project aims to strategically train the students and build the workforce development capacity at six
Hispanic-Serving Institutions (HSI) in Texas, New Mexico, and Puerto Rico. Regarding student training,
these institutions will develop programs to increase students' awareness of career paths in the energy
industry, expand their knowledge through systematically designed curricula on power and energy, expose
students to cutting-edge clean energy research and hands-on problems, and enhance their leadership skills.
For the workforce development capacity building, the six institutions will share expertise in electrical
engineering, advanced computing, environmental engineering, and education to collaborate on research,
develop and share course materials, and jointly mentor junior faculty members. Additionally, a plan is
established to sustain the project's impact beyond its period of performance and its reach beyond the six
institutions. This project will advance clean energy workforce development in the Southwest, Puerto Rico,
and beyond, training a sustainable workforce for the growing clean energy industry across the U.S.
",81,,,,0,0,FEDERAL,DOE,US DEPARTMENT OF ENERGY (FED),ENGINEERING,"Velez-reyes, Miguel",Elect & Comp Engr     ,15%,"Santiago, Ivonne",Civil Engineering     ,15%,"Mcgarry, Michael",Elect & Comp Engr     ,15%,"Chavez, Jennifer C",Center For Trans. Infr. Sys,15%,,,,,,,,,,,,
SCIENCE,BIOLOGICAL SCIENCES,"SEYMOURE, BRETT M",80%,DANIEL,No,No,2023-12-15,Biological Sciences   ,MESOPREDATORS IN THE DARK: EFFECTS OF LIGHT ON PREDATOR-PREY BEHAVIOR,"$1,382,405 ",2023-12-15,2024-06-01,2028-05-31,OR20240158,NATIONAL SCIENCE FOUNDATION (FED),,"Ecosystems are organized by natural light-dark cycles, which have been stable over evolutionary time scales. Artificial 
light induced disruptions of those cycles affect the structure and function of multiple levels of biodiversity. As artificial 
light continues to increase, it is crucial to understand how animals are altering their behaviors. Artificial lighting is 
introducing both intensities and wavelengths of light that mask or destroy the natural light environments upon which 
organisms depend for carrying out biological functions such as foraging, habitat selection, and predator avoidance. To 
cope with these novel, artificial conditions, species must modify their behaviors, possibly leading to shifts in predator-
prey interactions. Nocturnal ambush mesopredators are central to these interactions and rely upon darkness for hunting 
and concealment, making them particularly likely to alter their behavior under the constant presence of artificial light. 
Rattlesnakes, with their nocturnal habits, ambush foraging, and dependence upon crypsis for concealment, offer an ideal 
system to investigate the impact of both natural and artificial light on ambush mesopredators. Our proposed project uses 
rattlesnakes and associated species (e.g. rodents, coyotes, owls) to evaluate light environment effects on predator-prey 
behaviors and dynamics through three aims: 1) spatiotemporal dynamics of predator-prey interactions, 2) altered 
crypsis, and 3) foraging success. We propose eight experiments including in situ organismal tracking, field 
manipulations, and controlled mesocosm experiments. The 2020 World Biodiversity forum posed 11 pressing research 
questions on how artificial light affects biodiversity and organisms. Our proposed research will contribute answers to 
seven of 11 important themes. Numerous recent reviews and perspectives have called for understanding 
how natural light drives organismal spatiotemporal dynamics and the consequences of artificial light. The results of 
these experiments will contribute to understanding how landscape alterations of the visual environment modifies 
behaviors and morphology of prey, mesopredators, and apex predators in undisturbed Chihuahuan Desert.
",47.074,,,,0,0,FEDERAL,NSF,NATIONAL SCIENCE FOUNDATION (FED),SCIENCE,"Mata Silva, Vicente",Biological Sciences   ,20%,,,,,,,,,,,,,,,,,,,,,
SCIENCE,CHEMISTRY,"SHARIFAN, HAMIDREZA",100%,DANIEL,No,No,2023-12-01,Chemistry             ,BIOCHAR-ASSISTED REMEDIATION OF PFAS UPTAKE IN HIGH-RISK DIETARY PLANTS,"$1,199,668 ",2023-12-01,2024-09-01,2027-08-31,OR20240142,US ENVIRONMENTAL PROTECTION AGENCY (FED),,"Keywords: PFOA, Exposure, Leachate, Chemical Transport

This research will support the Goal 6: Safeguard and Revitalize Communities, Objective 6.2:
Reduce Waste and Prevent Environmental Contamination; and Goal 7: Ensure Safety of
Chemicals for People and the Environment, 7.2: Promote Pollution Prevention, of the Plan. The
specific objective of the research will focus on mitigating PFAS exposure from the food supply
through the exploration of different biochar applications as soil amendment to reduce PFAS
bioaccumulation in plants in agricultural settings to promote farm viability and public health. The
proposed research aims to enhance cost-effective solutions and management strategies tailored
to address PFAS concerns in agricultural environments. This includes developing strategies
applicable to farms dealing with high volumes of water or soil characterized by relatively low
PFAS concentrations.
",66.509,,,,0,0,FEDERAL,EPA,US ENVIRONMENTAL PROTECTION AGENCY (FED),SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE,BIOLOGICAL SCIENCES,"TWEEDIE, CRAIG E",34%,RAUL,No,No,2023-12-13,Biological Sciences   ,TRG: SUSTAINING THE ITEX-AON TO ADVANCE UNDERSTANDING OF RECOGNIZED AND EMERGING CHANGES IN ARCTIC TUNDRA ECOSYSTEMS,"$1,646,889 ",2023-12-13,2025-01-01,2029-12-31,OR20240155,NATIONAL SCIENCE FOUNDATION (FED),,"KEYWORDS: Artic research, phenocam imagery, data-streams, carbon exchange

The goal of this program is to advance understanding of the recognized and emerging changes occurring across Arctic tundra ecosystems by 
sustaining and enhancing the value of the datasets collected by the International Tundra Experiment - Arctic Observatory Network (ITEX-AON).  
Specifically, this proposal will: sustain the data-streams at the primary ITEX-AON sites near Toolik Lake, Imnavait Creek, Utqiagvik (formerly Barrow), 
and Atqasuk; expand observations of carbon dynamics to include Thule and Utqiagvik; collaborate closely with the Circumarctic Active Layer 
Monitoring (CALM) network to understand the interactions between snow cover, thaw, subsidence, vegetation change, and carbon exchange at 
multiple sites across Arctic Alaska; support the archival of observations across the ITEX network and continue syntheses focused on phenocam 
imagery; and increase scientific literacy by partnering with community organizations and K-12 teachers.  
",47.050 ,,,,0,0,FEDERAL,NSF,NATIONAL SCIENCE FOUNDATION (FED),SCIENCE,"Vargas, Sergio A",Biological Sciences   ,33%,,,,,,,,,,,,,,,,,,,,,
HEALTH SCIENCES,PUBLIC HEALTH SCIENCES,"UMUCU, EMRE",55%,BELINDA,No,Yes,2023-12-07,Chs Reached,I-REACH RURAL VETERANS,"$350,000 ",2023-12-07,2023-10-01,2025-09-30,OR20240048,MICHIGAN STATE UNIVERSITY (UNIV),DHHS - HEALTH RESOURCES AND SERVICE,"This project entitled ""Improving Rural Enrollment, ACcess, and Health in Rural Veterans (I-REACH Rural Veterans)"" aims to implement Veteran-
oriented and culturally-sensitive strategies to improve capacity of critical access hospitals and other rural health organizations to provide services to 
meet the needs for rural Veterans, including underserved Veterans, and caregivers (RVUVC).
",93.241,2023-12-07,2023-08-01,2025-07-31,350000,175000,FEDERAL,HHS,DHHS - HEALTH RESOURCES AND SERVICE,HEALTH SCIENCES,"Lee, Yun-pai",Rehabilitative-scienc ,45%,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,ELECT & COMP ENGR,"WANG, SHIAN",100%,RAUL,Yes,No,2023-12-22,Elect & Comp Engr     ,ENABLING EMERGING MOBILITY IN MIXED VEHICLE TRAFFIC VIA SOCIALLY COMPLIANT CONTROL OF AUTONOMY,"$10,000 ",2023-12-22,2024-06-01,2025-05-31,OR20240166,OAK RIDGE ASSOCIATED UNIVERSITIES (NPO),,"
 Research goals. This project aims to make early attempts to integrate a useful metric of social psychology, 
called social value orientation (SVO) [5, 6], into emerging mobility systems for the altruistic control design of 
AVs. The SVO of an AV enables it to influence the behavior of following HVs, a crucial aspect as AVs behaving 
in a socially compliant manner allow human drivers to understand their actions and respond appropriately. 
Specifically, the research will (i) collect naturalistic driving data at the trajectory level to analyze the 
comprehensive car-following behavior of ACC vehicles through field experiments, (ii) calibrate microscopic 
car-following models to describe the behavior of AVs with low levels of driving automation, (iii) integrate SVO 
into AV operation for socially compliant control design, and (iv) implement the novel AV control algorithms in 
simulation to conduct prospective analyses and explore potential implications on mixed vehicle traffic, including 
the fundamental diagram, traffic safety, and emissions impacts. This research aims to prepare transportation 
practitioners and future graduates for emerging technologies in vehicle automation. The ultimate goal is to 
expedite the transfer of knowledge gained from this research into real-world transportation engineering 
practices. Furthermore, this study will provide invaluable empirical datasets, models, and vehicle control 
algorithms to benefit the broader community of transportation and automotive researchers and practitioners. 
",,,,,0,0,NON-PROFIT ORGANIZAT,,OAK RIDGE ASSOCIATED UNIVERSITIES (NPO),ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,
OFFICE OF THE PROVOST,OFFICE OF THE PROVOST,"WIEBE, JOHN S",100%,CORY,No,No,2023-12-22,Office Of The Provost ,SUPPLEMENT: U54 FIRST: TRAVEL SUPPLEMENT,"$100,164 ",2023-12-22,2024-01-01,2028-05-31,OR20240165,NIH - OFFICE OF STRATEGIC COORDINATION (FED),,"UTEP FIRST seeks administrative supplement support for travel for the FIRST Faculty Cohort to attend the 
Faculty Institutional Recruitment for Sustainable Transformation (FIRST) Program Annual Grantees 
Conference in years 2-5 of the grant.  The requested grant funding will contribute to the professional 
development of the FIRST faculty cohort as well as foster peer-to-peer collaborations and the UTEP 
Community of Practice.  This additional supplemental request is essential to maximize the impact of our 
program, especially given the size of our institution and the need for support for the faculty development 
activities planned for the UTEP cohort.
",93.31,,,,0,0,FEDERAL,HHS,NIH - OFFICE OF STRATEGIC COORDINATION (FED),OFFICE OF THE PROVOST,,,,,,,,,,,,,,,,,,,,,,,,
